title,projectUrl,acronym,return_code,redirect_url
Use of integrated graphical and textual formal specification languages in industry,http://www.ifad.dk/Projects/usegat.htm,USEGAT,404,
Generic upgradable architectures for real-time dependable systems,http://www.cs.york.ac.uk/~ljerka/guards.html,GUARDS,404,
Architectural reasoning for embedded software,http://www.infosys.tuwien.ac.at/Projects/ARES,ARES,404,
Temporal object oriented databases within information systems,http://www.di.uoa.gr/~toobis,TOOBIS,301,http://helios.mm.di.uoa.gr/toobis/
Emerging software technologies for trading and fund management risk rewards solutions,http://www.aber.ac.uk/interpol,ESTIMATION,301,http://www.aber.ac.uk/en/interpol/
Use of the expert system platform REAKT for transport robot guidance,http://www.roberta-home.eu/,RETRARO,301,http://roberta-home.de/
Application of real time specification,http://www.cert.fr/francais/deri/seguin/ARTS/page.html,ARTS,404,
Workflow on intelligent distributed database environment,http://www.sema.es/projects/WIDE,WIDE,[Errno -2] Name or service not known,
Enhancement of electronic system design by EMC adviser system,http://www.ucl.ac.uk/mariecuriesocanth,FP5-EESD,301,http://www.ucl.ac.uk/mariecuriesocanth/
Trial applications of case based reasoning for customer support,http://www.uclouvain.be/en-43617.html,APPLICUS,200,
Design for validation,http://www.newcastle.research.ec.org/deva/index.html,DEVA,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
A cluster of trial applications using the RSAL tool to build reusable code repositories in order to support efficient software development,http://www.lii.unitn.it/TARSAL,TARSAL,[Errno -2] Name or service not known,
Speech recognition algorithms for connectionist hybrids,http://tcts.fpms.ac.be/sprach/sprach.html,SPRACH,404,
Cases acquisition and reply in fire campaigns ambience,http://mnemosyne.itc.it:1024:avesani/html/carica.html,CARICA,Server Error,
Raster data management in databases,http://www.forwiss.tu-muenchen.de/~rasdaman/,RASDAMAN,404,
Image processing for automatic cartographic tools,http://www.esat.kuleuven.ac.be/mi2/projects.html,IMPACT,404,
Nanolithography using chemically amplified resists,http://www.ebl.rl.ac.uk/esprit/nancar.html,NANCAR,timed out,
Algorithms and complexity in information technology,http://www.dis.uniroma1.it/alcom-it,ALCOM IT,301,http://www.dis.uniroma1.it/alcom-it/
Non-linear model-based analysis and description of images for multimedia applications,http://www.ti1.tu-harburg.de/~noblesse,NOBLESSE,timed out,
Process industries diagnostic experiments,http://www.solar.uni-kassel.de/solnet,PRIDE,301,http://www.uni-kassel.de/fb15/ite/solar/solnet/
An integrated programming environment for parallel sparse matrix solvers,http://www.pallas.de/pages/partners.htm#Projects,PARASOL,404,
An authoring environment for adaptive multimedia documents,http://www.cwi.nl/Chameleon,CHAMELEON,404,
Veniva - venetian virtual archives,http://web.tin.it/marsilio/veniva/,VENIVA,timed out,
Inter-university dissemination project of Omi,http://www.ieec.uned.es/,IUN 2,200,
Interactive networked kiosks,http://www.archetypon.gr/ink,INK,404,
Methodology and tools for multimedia documentation and electronic catalogues,http://www.metodoc.com/,METODOC,301,http://me2doc.com/
Motorcycles rider simulator,http://www.hh.se/dep/cca/research/moris/,MORIS,404,
A hypermedia platform combining an organisational framework and a methodology for the exploitation and promotion of tourism in Europe of 2000,http://www.albanet.co.uk/hyper.html,HYPERTOUR,404,
Advanced multimedia authoring system with AV optimised removable storage,http://www.ndmack.demon.co.uk/amas.htm,AMAS,[Errno -2] Name or service not known,
Computer aided theatrical score,http://www.pisa.intecs.it/projects/CATS/,CATS,[Errno -2] Name or service not known,
Distributed multimedia-archives for co-operative TV-production,http://www.foyer.de/euromedia/index.html,EUROMEDIA,302,http://www.kaifestersen.com/
Marble industry advertising over the world,http://www.pisa.intecs.it/projects/miaow/,MIAOW,[Errno -2] Name or service not known,
Porting the EOS RTOs on the arm thumb architecture,http://www.plantscafe.net/,OMI/THEOS,200,
Intellectual multimedia property rights model and terminology for universal reference,http://www.imprimatur.alcs.co.uk,IMPRIMATUR,[Errno -2] Name or service not known,
Co-ordinating project for electronic authors right management systems,http://www.ifla.org/copearms,COPEARMS,404,
Energy and communications user services (multimedia) field trials of developed home systems to European hs (EHS) protocols and specifications,http://www.fen.bris.ac.uk/elec/ETHOS/Ethos.htm,ETHOS,[Errno 111] Connection refused,
Application specific processor and instruction set,http://www.intranet.gr,ASPIS,503,
Cited based multimedia IPR management on cost-effective smart device,http://www.arttic.com/projects/Copysmart/,COPYSMART,404,
A market place for textile images and patterns,http://tissus.cpr.it/,TISSUS,200,
Multimedia interactive leading life-giving initiative on net,http://www.omega.it/million,MILLION,301,http://www.omega.it/
VIRTUAL REALITY ENVIRONMENTS FOR PSYCHO-NEURO-PHYSIOLOGICAL ASSESSMENT AND REHABILITATION,http://www.ehto.be/ht_projects/vrepar/,VREPAR,200,
Enhanced Telematics for the Elderly and Disabled,http://www.stakes.fi/include/,INCLUDE,404,
CONSENSUS AND COORDINATION IN TA RESULTS EXPLOITATION PROJECT,http://www.etic.be/concordia/index.html,CONCORD 2,404,
AWARENESS OF EUROPEAN SOLUTIONS AND BEST PRACTICES FOR TELEMATICS APPLICATIONS,http://nt3.fundesco.es/aesopian/,AESOPIAN,404,
FUTURE LINES OF USER INTERFACE DECISION SUPPORT,http://www.dfki.de/fluids/,FLUIDS,200,
METHODS AND GUIDELINES FOR THE ASSESSMENT OF TELEMATICS APPLICATIONS QUALITY,http://www.megataq.mcg.gla.ac.uk/ or http://arti.vub.ac.be/www/geomed/geomed.html,MEGATAQ,[Errno -2] Name or service not known,
MODELS OF INDUSTRIAL RELATIONS IN TELEWORK INNOVATION,http://www.iess-ae.it/mirti/english/mirti.htm,MIRTI,[Errno -2] Name or service not known,
EUROPEAN CHART HUB OPERATIONS,http://www.statkart.no/ecc/frecho.htm,ECHO,404,
INTEGRATING WATERBORNE TRANSPORT IN THE LOGISTICS CHAIN,http://www.mot.chalmers.se/inst/tfk/ip_home.htm,INTERPORT,[Errno -2] Name or service not known,
TELEMATIC STANDARDS AND COORDINATION OF ATT SYSTEMS IN RELATION TO ELDERLY AND DISABLED TRAVELLERS,http://hermes.civil.auth.gr/telscan/telsc.html,TELSCAN,timed out,
INTEROPERABLE TOOLS FOR COOPERATION SUPPORT USING THE WORLD-WIDE WEB,http://orgwis.gmd.de/projects/COOPWWW/,COOPWWW,[Errno -2] Name or service not known,
Measuring and modelling the dynamic response of remote mountain lake ecosystems to environmental change. A programme of mountain lake research,http://www.natur.cuni.cz/hydrobiology/molar/,MOLAR,404,
Detecting and locating non-aqueaous phase contaminants in soils by three geophysical methods,http://www.forthnet.gr/imag-arts/english/geolFrame1.htm,,404,
Vertical Ozone Transports in the Alps,http://www.boku.ac.at/imp/votalp/,VOTALP,302,https://imp.boku.ac.at/votalp/
Procedural Operationalisation of Techniques for the functional anal ysis Of European Wetland ecosystems,http://www.vms.rhbnc.ac.uk:8080/~uhfa060/PROTOWET.HTM,PROTOWET,[Errno -2] Name or service not known,
Groundwater and river resources action programme on a European Scale,http://www.nerc-wallingford.ac.uk/ih/www/research/bgrapes.html,GRAPES,[Errno 111] Connection refused,
The role of buffering capacities in stabilising coastal lagoon ecosystems.,http://www.cribx1.u-bordeaux.fr/ub1/UFR_terremer/epoc/Robust/default.html,ROBUST,[Errno -2] Name or service not known,
"Biogeochemistry of an acidic and metal-rich river-estuary system, consequences for atlantic shelf waters",http://carpanta.ugr.es/toros.html,TOROS,[Errno -2] Name or service not known,
"Diagnostic Ecotoxicology: cell-based methodology to develop markers for early, sublethal effects assessment",http://www.abdn.ac.uk/~nhi691/ecotox/title.htm,,404,
Environmental cycling of selected persistent organic pollutants (POPs) in the Baltic region.,http://www.nilu.no/projects/baltic/,POPCYCLING-BALTIC,200,
New X-Ray Imaging Sensors,http://www.regam.se,,200,
Help at distance the SMEs in the development of their environmental management,http://www.ictnet.es/ecomanagement/,ECOMANAGEMENT,404,
PUBLISHERS ON INFORMATION HIGHWAYS,http://www.diff.uni-tuebingen.de/pollen/,POLLEN,[Errno -2] Name or service not known,
Multimedia Teacher Training Network,http://weblife.bangor.ac.uk/rem/rem.html,REM,[Errno -2] Name or service not known,
X.500 PILOT DIRECTORY SERVICE FOR ADMINISTRATIONS IN EUROPE,http://www.materna.de/,EUROVIEW,302,http://www.materna.de/DE/Home/home_node.html
"GLOBAL RETRIEVAL, ACCESS AND INFORMATION SYSTEM FOR PROPERTY ITEMS",http://www.arttic.com/grasp,GRASP,404,
Ecological and environmental monitoring and simulation system for management decision support in urban areas,http://www.ess.co.at/ecosim,ECOSIM,404,
Environmental Management Architecture for Information Delivery,http://prato2.ing.unifi.it/email,E-MAIL,[Errno -2] Name or service not known,
Distributed Environmental Disaster Information and Control System,http://www.dedics.aueb.gr,DEDICS,[Errno -2] Name or service not known,
Application Research & Testing for Emergency Management Intelligent Systems,http://www.netmode.ntua.gr/artemis/,ARTEMIS,404,
Linking system designers and cad developers in Europe,http://set.gmd.de/SYSLINK,SYSLINK,[Errno -2] Name or service not known,
MULTIMEDIA ASSETS FOR INDUSTRIAL DESIGN,http://194.80.29.2/cite/index.html,MAID,timed out,
DEVELOPMENT OF A MULTIMEDIA INFORMATION TRANSACTION AND DISSEMINATION TOOL,http://twentyone.tpd.tno.nl,TWENTY-ONE,[Errno -2] Name or service not known,
Testing Systems using Telematics for Library Access for Blind and Visually Handicapped Readers,http://www.svb.nl/project/testlab/testlab.htm,TESTLAB,200,
MUSEUMS & GALLERIES NEW TECHNOLOGY STUDY,http://www.brameur.co.uk/vasari/magnets/,MAGNETS,Server Error,
Transnational Environmental Management Support and Information System,http://www-temsis.dfki.uni-sb.de/,TEMSIS,[Errno -2] Name or service not known,
Sustainable Telematics for Environmental Management,http://www.cogsci.ed.ac.uk/~stem,STEM,303,http://www.inf.ed.ac.uk/systems/web/oldcogsci.html
Regional Environmental Management Support System Based on Telematics,http://www.metor.gr/remssbot/,REMSSBOT,[Errno -2] Name or service not known,
Public environmental information services for European cities,http://www.envirocity.com,ENVIROCITY,200,
COURSEWARE AUTHORING FOR SCIENTIFIC TRAINING,http://coast.selisa.fr:9010/,COAST,timed out,
BLUEPRINT FOR INTERACTIVE CLASSROOMS,http://avc.ucd.ie/BIC/,BIC,timed out,
ALLIANCE OF REMOTE INSTRUCTIONAL AUTHORING & DEVELOPMENT NETWORKS FOR EUROPE,http://ariadne.unil.ch/,ARIADNE,timed out,
RESEARCH INSTITUTIONS FOR DEVELOPMENT OF USER FRIENDLY APPLICATIONS IN TELEMATICS,http://aquarius.euro.org/,AQUARIUS,[Errno -2] Name or service not known,
EUROPEAN HEALTH TELEMATICS OBSERVATORY,http://www.ehto.be/,EHTO,200,
MULTIMEDIA EUROPEAN RESEARCH CONFERENCING INTEGRATION,http://www-mice.cs.ucl.ac.uk/mice/merci/,MERCI,404,
MULTIMEDIA AND NETWORK IN CO-OPERATIVE RESEARCH AND LEARNING,http://www-geomatics.tu-graz.ac.at/manicoral/,MANICORAL,[Errno -2] Name or service not known,
INTERWORKING PUBLIC KEY CERTIFICATION INFRASTRUCTURE FOR EUROPE,http://www.darmstadt.gmd.de/ice-tel/,ICE-TEL,[Errno -2] Name or service not known,
DEVELOPMENT OF A EUROPEAN SERVICE FOR INFORMATION ON RESEARCH AND EDUCATION,http://www.surfnet.nl/surfnet/projects/desire/,DESIRE,301,https://www.surf.nl/over-surf/werkmaatschappijen/surfnet
COLLABORATIVE BROWSING IN INFORMATION RESOURCES,http://www.tik.ee.ethz.ch/~cobrow/,COBROW,404,
ADDED VALUE INFORMATION SERVICES ON EUROPEAN RESEARCH RESULTS,http://adviser.tno.it/adviser/,ADVISER,[Errno -2] Name or service not known,
"TRANSFER OF KNOWLEDGE BETWEEN RESEARCH, EDUCATION, BUSINESS AND PUBLIC ADMINISTRATIONS THROUGH WORLD WIDE WEB EXTENDED FOR GROUP COMMUNICATION",http://web4groups.at:9000/home?,WEB 4 GROUPS,[Errno 111] Connection refused,
REMOTE EXPERIMENT MONITORING AND CONTROL,http://www.laeff.esa.es/~tcpsi/,REMOT,[Errno -2] Name or service not known,
TELEMATICS EMPLOYMENT ENGINE,http://www.telejobs.org/,TEMPLE,403,
INTEGRATION SYSTEM ARCHITECTURE - TELEMATICS,http://www.univ-lille2.fr/isart/,ISAR-T,301,http://www.univ-lille2.fr/
TRAINING EDUCATORS THROUGH NETWORKS AND DISTRIBUTED SYSTEMS,http://www.lrf.gr/english/trends/trendshome.html,TRENDS,404,
TO OPTIMIZE THE INVIDUAL LEARNING PROCESS OF OCCUPATIONAL TRAVELLERS,http://edm-topilot.luc.ac.be/,TOPILOT,[Errno -2] Name or service not known,
TRANS-EUROPEAN TELE-EDUCATION NETWORK,http://www.fundesco.es/ten,TEN,404,
SERVICE FOR INTEGRATED VIRTUAL ENVIRONMENTS,http://www.to.utwente.nl/servive/public/home.htm,SERVIVE,[Errno -2] Name or service not known,
SAFETY CRITICAL INDUSTRIES WORKPLACE LEARNING TELEMATIC NETWORK,http://www.marintek.sintef.no/snet,SAFETY-NET,301,http://www.sintef.no/en/marintek/
SEMINARS FOR TRAINING SMES IN THE USE OF TELEMATICS,http://www.eurocom.gr/EurPrj/transmete/transmete/,TRANSMETE,404,
TELEMATICS FOR TEACHER TRAINING,http://telematics.ex.ac.uk/T3/,T3,[Errno -2] Name or service not known,
VALIDATION OF DEDICATED SHORT-RANGE COMMUNICATIONS,http://www.comnets.rwth-aachen.de/~vasco/,VASCO,301,http://www.comnets.rwth-aachen.de/home.html
"VEHICLE ATT DEMONSTRATIONS, EVALUATION AND MONITORING ON A EUROPEAN CORRIDOR UNITING MEMBER STATES",http://www.umist.ac.uk/UMIST_CIVENG/VADE_MECUM/,VADE MECUM,[Errno -2] Name or service not known,
EUROVILLAGE ON THE EUROPEAN INFORMATION INFRASTRUCTURE,http://www.sycomore.fr/evenet/,EVENET,301,http://www.sycomore.fr/
EXTENDING QUALITY URBAN SERVICE FOR ADDED-VALUE LIVING USING INTERACTIVE TELEMATIC SYSTEMS,http://www.denhaag.nl/equality/,EQUALITY,404,
RAILWAY OPEN SYSTEM INTERCONNECTION NETWORK,http://www.cnc.it/rosin/,ROSIN,404,
EUROPEAN TRADE UNION EDUCATION NETWORK,http://www.etuenet.org/,ETUE-NET,[Errno -2] Name or service not known,
EUROPEAN TELEMATICS HORIZONTAL OBSERVATORY SERVICE,http://www.ethoseurope.org/,ETHOS,403,
TELESERVICES FOR SMALL AND MEDIUM-SIZED ORGANISATIONS : A NETWORK OF NETWORKS,http://www.agora.org,AGORA,301,http://www.agora.org/home
DIABCARE QUALITY NETWORK IN EUROPE,http://www.diabcare.de/,DIABCARE Q-NET,302,http://www.diabcare.de/dc_stvincent/_cats.htm
